[2025-12-11 00:12:39] Geração 224 — mean=7.0579, best=7.0775, std=0.0094, frac_changed=1.000
[2025-12-11 00:12:46] Geração 225 — mean=7.0586, best=7.0796, std=0.0100, frac_changed=1.000
[2025-12-11 00:12:53] Geração 226 — mean=7.0600, best=7.0797, std=0.0089, frac_changed=1.000
[2025-12-11 00:12:59] Geração 227 — mean=7.0614, best=7.0861, std=0.0096, frac_changed=1.000
[2025-12-11 00:13:06] Geração 228 — mean=7.0636, best=7.0861, std=0.0098, frac_changed=1.000
[2025-12-11 00:13:13] Geração 229 — mean=7.0652, best=7.0861, std=0.0097, frac_changed=1.000
[2025-12-11 00:13:20] Geração 230 — mean=7.0672, best=7.0931, std=0.0095, frac_changed=1.000
[2025-12-11 00:13:27] Geração 231 — mean=7.0695, best=7.0947, std=0.0101, frac_changed=1.000
[2025-12-11 00:13:34] Geração 232 — mean=7.0720, best=7.0956, std=0.0092, frac_changed=1.000
[2025-12-11 00:13:40] Geração 233 — mean=7.0736, best=7.0957, std=0.0089, frac_changed=1.000
[2025-12-11 00:13:48] Geração 234 — mean=7.0757, best=7.0983, std=0.0097, frac_changed=1.000
[2025-12-11 00:13:55] Geração 235 — mean=7.0782, best=7.1032, std=0.0088, frac_changed=1.000
[2025-12-11 00:14:01] Geração 236 — mean=7.0799, best=7.1033, std=0.0090, frac_changed=1.000
[2025-12-11 00:14:08] Geração 237 — mean=7.0825, best=7.1033, std=0.0084, frac_changed=1.000
[2025-12-11 00:14:15] Geração 238 — mean=7.0846, best=7.1078, std=0.0089, frac_changed=1.000
[2025-12-11 00:14:22] Geração 239 — mean=7.0861, best=7.1098, std=0.0077, frac_changed=1.000
[2025-12-11 00:14:29] Geração 240 — mean=7.0872, best=7.1102, std=0.0077, frac_changed=1.000
[2025-12-11 00:14:36] Geração 241 — mean=7.0893, best=7.1150, std=0.0093, frac_changed=1.000
[2025-12-11 00:14:42] Geração 242 — mean=7.0919, best=7.1150, std=0.0089, frac_changed=1.000
[2025-12-11 00:14:49] Geração 243 — mean=7.0944, best=7.1166, std=0.0088, frac_changed=1.000
[2025-12-11 00:14:56] Geração 244 — mean=7.0965, best=7.1166, std=0.0081, frac_changed=1.000
[2025-12-11 00:15:03] Geração 245 — mean=7.0983, best=7.1191, std=0.0082, frac_changed=1.000
[2025-12-11 00:15:10] Geração 246 — mean=7.1013, best=7.1211, std=0.0083, frac_changed=1.000
[2025-12-11 00:15:17] Geração 247 — mean=7.1031, best=7.1211, std=0.0085, frac_changed=1.000
[2025-12-11 00:15:23] Geração 248 — mean=7.1058, best=7.1214, std=0.0070, frac_changed=1.000
[2025-12-11 00:15:31] Geração 249 — mean=7.1074, best=7.1222, std=0.0069, frac_changed=1.000
[2025-12-11 00:15:38] Geração 250 — mean=7.1093, best=7.1250, std=0.0068, frac_changed=1.000
[2025-12-11 00:15:45] Geração 251 — mean=7.1112, best=7.1256, std=0.0074, frac_changed=1.000
[2025-12-11 00:15:51] Geração 252 — mean=7.1131, best=7.1316, std=0.0070, frac_changed=1.000
[2025-12-11 00:15:58] Geração 253 — mean=7.1141, best=7.1321, std=0.0070, frac_changed=1.000
[2025-12-11 00:16:05] Geração 254 — mean=7.1156, best=7.1327, std=0.0074, frac_changed=1.000
[2025-12-11 00:16:12] Geração 255 — mean=7.1176, best=7.1327, std=0.0071, frac_changed=1.000
[2025-12-11 00:16:19] Geração 256 — mean=7.1194, best=7.1327, std=0.0062, frac_changed=1.000
[2025-12-11 00:16:25] Geração 257 — mean=7.1210, best=7.1349, std=0.0064, frac_changed=1.000
[2025-12-11 00:16:32] Geração 258 — mean=7.1229, best=7.1391, std=0.0063, frac_changed=1.000
[2025-12-11 00:16:39] Geração 259 — mean=7.1241, best=7.1401, std=0.0065, frac_changed=1.000
[2025-12-11 00:16:46] Geração 260 — mean=7.1258, best=7.1401, std=0.0063, frac_changed=1.000
[2025-12-11 00:16:53] Geração 261 — mean=7.1267, best=7.1421, std=0.0064, frac_changed=1.000
[2025-12-11 00:17:00] Geração 262 — mean=7.1289, best=7.1465, std=0.0058, frac_changed=1.000
[2025-12-11 00:17:07] Geração 263 — mean=7.1308, best=7.1474, std=0.0060, frac_changed=1.000
